x_m,y_m,z_m,T_ice,T_ftst_interp,abs_err,pct_err
0.0001,0.0062,0.005001,25.1876,25.1876,0.0,0.0
0.0,0.0062,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0063,0.005001,25.1856,25.185599999999997,3.552713678800501e-15,1.4106130800141192e-14
0.0,0.0063,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0064,0.005001,25.1834,25.1834,0.0,0.0
0.0,0.0064,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0065,0.005001,25.181,25.181,0.0,0.0
0.0,0.0065,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0066,0.005001,25.1785,25.178399999999996,0.00010000000000331966,0.00039716424728762916
0.0,0.0066,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0067,0.005001,25.1757,25.1757,0.0,0.0
0.0,0.0067,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0068,0.005001,25.1728,25.1728,0.0,0.0
0.0,0.0068,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0069,0.005001,25.1698,25.1697,9.999999999976694e-05,0.00039730152802073507
0.0,0.0069,0.005001,25.0,25.0,0.0,0.0
0.0001,0.007,0.005001,25.1666,25.1665,9.999999999976694e-05,0.0003973520459647429
0.0,0.007,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0071,0.005001,25.1631,25.1631,0.0,0.0
0.0,0.0071,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0072,0.005001,25.1596,25.1595,9.999999999976694e-05,0.0003974625987685137
0.0,0.0072,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0073,0.005001,25.1558,25.1558,0.0,0.0
0.0,0.0073,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0074,0.005001,25.1519,25.1518,9.999999999976694e-05,0.00039758427792637124
0.0,0.0074,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0075,0.005001,25.1478,25.1477,9.999999999976694e-05,0.00039764909852855107
0.0,0.0075,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0076,0.005001,25.1435,25.1435,0.0,0.0
0.0,0.0076,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0077,0.005001,25.139,25.138999999999996,3.552713678800501e-15,1.4132279242612514e-14
0.0,0.0077,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0078,0.005001,25.1344,25.1344,0.0,0.0
0.0,0.0078,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0079,0.005001,25.1297,25.1296,9.999999999976694e-05,0.0003979355105702136
0.0,0.0079,0.005001,25.0,25.0,0.0,0.0
0.0001,0.008,0.005001,25.1247,25.1247,0.0,0.0
0.0,0.008,0.005001,25.0,25.0,0.0,0.0
